epoch, batch, loss, loss_f, f_mae, f_rmse
   88,     4,        0.0081737,        0.0081737,         0.022181,         0.042987
   88,     5,        0.0083654,        0.0083654,         0.033862,         0.043488
   89,     1,        0.0052518,        0.0052518,         0.018967,         0.034458
   89,     2,        0.0020441,        0.0020441,         0.015736,         0.021497
   89,     3,        0.0088641,        0.0088641,         0.033091,         0.044766
   89,     4,        0.0082172,        0.0082172,         0.035122,         0.043101
   89,     5,         0.010444,         0.010444,         0.026597,         0.048592
   90,     1,        0.0022424,        0.0022424,         0.017159,         0.022516
   90,     2,        0.0022367,        0.0022367,         0.016932,         0.022487
   90,     3,        0.0061058,        0.0061058,         0.029549,         0.037154
   90,     4,        0.0096769,        0.0096769,         0.036136,         0.046774
   90,     5,        0.0054444,        0.0054444,          0.02343,         0.035084
   91,     1,        0.0015155,        0.0015155,         0.014554,          0.01851
   91,     2,        0.0055347,        0.0055347,         0.019283,         0.035373
   91,     3,        0.0066529,        0.0066529,         0.029856,         0.038783
   91,     4,         0.003297,         0.003297,          0.01764,         0.027302
